YEAR,MONTH,DAY,TMAX,TMIN,RAIN,SNOW
2017,6,26,25.00,11.67,0.00,0.00
2017,6,27,25.56,10.00,0.00,0.00
2017,6,28,27.78,10.00,33.02,0.00
2017,6,29,31.67,17.78,0.00,0.00
2017,6,30,28.81,16.94,5.84,0.00
2017,7,1,29.44,12.78,3.56,0.00
2017,7,2,29.44,13.89,0.00,0.00
2017,7,3,28.33,18.33,7.62,0.00
2017,7,4,31.11,17.22,25.91,0.00
2017,7,5,30.00,17.22,0.00,0.00
2017,7,6,30.56,16.67,0.00,0.00
2017,7,7,33.33,19.44,0.00,0.00
2017,7,8,27.18,15.99,0.00,0.00
2017,7,9,30.79,16.88,0.00,0.00
2017,7,10,33.89,18.33,0.00,0.00
2017,7,11,32.22,20.56,0.00,0.00
2017,7,12,33.89,21.11,8.89,0.00
2017,7,13,28.33,20.00,12.19,0.00
2017,7,14,28.33,17.78,0.00,0.00
2017,7,15,30.56,18.33,0.00,0.00
2017,7,16,32.78,19.44,0.00,0.00
2017,7,17,34.44,20.00,0.00,0.00
2017,7,18,33.89,21.67,1.52,0.00
2017,7,19,32.22,21.67,0.00,0.00
2017,7,20,34.44,23.33,0.00,0.00
2017,7,21,35.00,23.89,0.00,0.00
2017,7,22,37.62,25.44,0.00,0.00
2017,7,23,33.17,19.49,0.00,0.00
2017,7,24,31.67,15.00,0.00,0.00
2017,7,25,-17.78,-17.78,0.00,0.00
2017,7,26,35.56,20.56,1.27,0.00
2017,7,27,23.89,18.89,22.35,0.00
2017,7,28,28.89,16.67,0.00,0.00
2017,7,29,28.33,16.67,0.00,0.00
2017,7,30,29.44,16.67,0.00,0.00
2017,7,31,-17.78,-17.78,0.00,0.00
2017,8,1,27.73,17.69,0.00,0.00
2017,8,2,30.56,17.22,0.00,0.00
2017,8,3,30.00,16.67,0.00,0.00
2017,8,4,23.33,9.44,0.00,0.00
2017,8,5,24.96,10.75,0.00,0.00
2017,8,6,19.44,14.88,5.08,0.00
2017,8,7,23.89,15.00,0.00,0.00
2017,8,8,26.11,12.78,0.00,0.00
2017,8,9,27.78,12.78,0.00,0.00
2017,8,10,25.56,15.00,0.00,0.00
2017,8,11,27.22,13.89,0.00,0.00
2017,8,12,27.22,13.33,0.00,0.00
2017,8,13,27.78,11.67,0.00,0.00
2017,8,14,27.22,16.67,5.33,0.00
2017,8,15,29.44,18.33,0.00,0.00
2017,8,16,30.28,18.77,6.35,0.00
2017,8,17,27.22,16.11,17.27,0.00
2017,8,18,28.33,15.56,0.76,0.00
2017,8,19,29.28,15.44,0.00,0.00
2017,8,20,29.44,14.61,0.00,0.00
2017,8,21,28.33,17.78,5.84,0.00
2017,8,22,29.44,16.11,15.75,0.00
2017,8,23,24.44,10.56,0.00,0.00
2017,8,24,26.11,10.00,0.00,0.00
2017,8,25,27.34,15.67,0.00,0.00
2017,8,26,27.22,16.67,15.24,0.00
2017,8,27,30.00,17.78,0.76,0.00
2017,8,28,30.00,13.33,0.51,0.00
2017,8,29,25.00,12.78,0.00,0.00
2017,8,30,25.00,12.22,0.00,0.00
2017,8,31,27.22,11.67,0.00,0.00
2017,9,1,27.78,13.89,0.00,0.00
2017,9,2,25.00,17.00,0.00,0.00
2017,9,3,27.78,15.62,0.00,0.00
2017,9,4,30.56,12.78,0.00,0.00
2017,9,5,25.00,9.44,0.00,0.00
2017,9,6,21.11,6.67,0.00,0.00
2017,9,7,21.11,6.11,0.00,0.00
2017,9,8,26.67,5.00,0.00,0.00
2017,9,9,30.00,10.00,0.00,0.00
2017,9,10,28.33,12.22,0.00,0.00
2017,9,11,28.33,13.89,0.00,0.00
2017,9,12,29.44,12.22,0.00,0.00
2017,9,13,-17.78,-17.78,0.00,0.00
2017,9,14,30.56,11.11,0.00,0.00
2017,9,15,-17.78,-17.78,0.00,0.00
2017,9,16,33.50,18.17,0.00,0.00
2017,9,17,20.56,8.33,37.34,0.00
2017,9,18,-17.78,-17.78,0.00,0.00
2017,9,19,23.33,16.11,8.38,0.00
2017,9,20,31.11,17.78,0.00,0.00
2017,9,21,25.56,14.44,0.00,0.00
2017,9,22,32.78,16.11,0.00,0.00
2017,9,23,34.96,21.22,0.00,0.00
2017,9,24,32.78,20.39,0.00,0.00
2017,9,25,31.11,13.33,64.01,0.00
2017,9,26,16.67,11.67,15.24,0.00
2017,9,27,18.33,8.33,0.00,0.00
2017,9,28,22.78,7.78,0.00,0.00
2017,9,29,25.00,7.78,0.00,0.00
2017,9,30,25.78,10.00,0.00,0.00
2017,10,1,24.92,14.05,0.00,0.00
2017,10,2,26.67,13.33,27.94,0.00
2017,10,3,27.78,16.11,8.13,0.00
2017,10,4,20.56,10.00,0.51,0.00
2017,10,5,20.56,10.00,0.00,0.00
2017,10,6,17.78,13.89,32.00,0.00
2017,10,7,20.00,12.78,21.59,0.00
2017,10,8,22.78,10.56,1.02,0.00
2017,10,9,24.44,10.00,0.00,0.00
2017,10,10,13.33,3.89,12.95,0.00
2017,10,11,10.00,0.00,2.54,0.00
2017,10,12,17.78,-1.67,0.00,0.00
2017,10,13,20.56,6.67,0.00,0.00
2017,10,14,15.44,11.50,0.00,0.00
2017,10,15,14.33,5.48,4.32,0.00
2017,10,16,16.11,1.11,0.00,0.00
2017,10,17,22.78,0.00,0.00,0.00
2017,10,18,22.22,6.67,0.00,0.00
2017,10,19,26.11,6.11,0.00,0.00
2017,10,20,26.11,4.44,0.00,0.00
2017,10,21,24.44,10.56,0.00,0.00
2017,10,22,22.78,5.00,0.00,0.00
2017,10,23,20.56,3.89,0.00,0.00
2017,10,24,18.33,6.11,0.00,0.00
2017,10,25,12.78,2.78,0.00,0.00
2017,10,26,23.33,2.78,0.00,0.00
2017,10,27,16.11,0.00,0.00,0.00
2017,10,28,2.89,-4.89,0.00,0.00
2017,10,29,10.35,-6.23,0.00,0.00
2017,10,30,20.56,0.56,0.00,0.00
2017,10,31,6.67,-4.44,0.00,0.00
